Difference (Minutes),1,,Difference (Minutes),1
Enc_Transit_Date__5/23/2020,0.003368092,,Enc_Day_of_Week__4687,0.006544803
Enc_Transit_Date__5/24/2020,0.001937825,,Enc_Day_of_Week__5050,0.006506781
Enc_Transit_Date__5/25/2020,0.001618572,,Enc_Day_of_Week__3367,0.006478199
Enc_Transit_Date__5/26/2020,-0.003048257,,Enc_Day_of_Week__3482,0.00647588
Enc_Transit_Date__5/27/2020,-0.001600625,,Enc_Day_of_Week__4950,0.006474167
Enc_Transit_Date__5/28/2020,-0.004616769,,Enc_Stop_Sequence__10240,0.006463324
Enc_Transit_Date__5/29/2020,-0.004958222,,Enc_Transit_Date__10/17/2020,0.006407658
Enc_Transit_Date__5/3/2020,-0.00173198,,Enc_Transit_Date__6/7/2020,0.006381467
Enc_Transit_Date__5/30/2020,0.003140184,,Enc_Actual_Hour_Depart__23,0.006261071
Enc_Transit_Date__5/31/2020,0.002303935,,Enc_Stop_Sequence__10689,0.006215237
Enc_Transit_Date__5/5/2020,-0.005378238,,Enc_Transit_Date__6/6/2020,0.006171307
Enc_Transit_Date__5/6/2020,-0.003830415,,Enc_Day_of_Week__4937,0.006099593
Enc_Transit_Date__5/7/2020,0.000143917,,Enc_Transit_Date__2/26/2020,0.006024016
Enc_Transit_Date__5/8/2020,-0.005259217,,Enc_Day_of_Week__4996,0.00594158
Enc_Transit_Date__5/9/2020,-0.001087591,,Enc_Stop_Sequence__11662,0.005889823
Enc_Transit_Date__6/1/2020,0.00363569,,Enc_Transit_Date__2/18/2020,0.005879348
Enc_Transit_Date__6/10/2020,0.001439703,,Enc_Day_of_Week__5001,0.005849716
Enc_Transit_Date__6/11/2020,0.00113504,,Enc_Transit_Date__2/21/2020,0.005806508
Enc_Transit_Date__6/12/2020,0.000461814,,Enc_Transit_Date__6/20/2020,0.005789508
Enc_Transit_Date__6/13/2020,0.003145999,,Enc_Stop_ID__3.203,0.005747975
Enc_Transit_Date__6/14/2020,0.002945554,,Enc_Day_of_Week__4982,0.00573668
Enc_Transit_Date__6/15/2020,-0.003084049,,Enc_Transit_Date__1/20/2020,0.005715361
Enc_Transit_Date__6/16/2020,-0.004597597,,Enc_Day_of_Week__5136,0.00567326
Enc_Transit_Date__6/17/2020,-0.000290852,,Enc_Transit_Date__5/10/2020,0.005631607
Enc_Transit_Date__6/18/2020,-0.004633732,,Enc_Stop_ID__2.044,0.005599759
Enc_Transit_Date__6/19/2020,-0.000692121,,Enc_Stop_Sequence__10040,0.005545538
Enc_Transit_Date__6/2/2020,0.002279971,,Enc_Transit_Date__11/7/2020,0.005500144
Enc_Transit_Date__6/20/2020,0.005789508,,Enc_Stop_Sequence__10804,0.005382224
Enc_Transit_Date__6/21/2020,0.002528712,,Enc_Transit_Date__12/12/2020,0.00534051
Enc_Transit_Date__6/22/2020,0.001953041,,Enc_Day_of_Week__4475,0.005333482
Enc_Transit_Date__6/23/2020,-0.008379173,,Enc_Transit_Date__7/6/2020,0.005264993
Enc_Transit_Date__6/24/2020,-0.003858494,,Enc_Day_of_Week__5046,0.005203373
Enc_Transit_Date__6/25/2020,-0.006428988,,Enc_Transit_Date__3/9/2020,0.005200755
Enc_Transit_Date__6/26/2020,-0.01235833,,Enc_Day_of_Week__4673,0.005125642
Enc_Transit_Date__6/27/2020,0.001323948,,Enc_Day_of_Week__3327,0.005120387
Enc_Transit_Date__6/28/2020,-0.000708848,,Enc_Stop_ID__44.725,0.005108719
Enc_Transit_Date__6/29/2020,0.002298409,,Enc_Day_of_Week__3476,0.005105648
Enc_Transit_Date__6/3/2020,0.001323223,,Enc_Transit_Date__1/4/2020,0.00501837
Enc_Transit_Date__6/30/2020,-0.005062705,,Enc_Day_of_Week__4710,0.005006629
Enc_Transit_Date__6/4/2020,-0.004554445,,Enc_Day_of_Week__5077,0.005004096
Enc_Transit_Date__6/5/2020,-0.004286467,,Enc_Transit_Date__11/28/2020,0.004976742
Enc_Transit_Date__6/6/2020,0.006171307,,Enc_Day_of_Week__3194,0.004924843
Enc_Transit_Date__6/7/2020,0.006381467,,Enc_Stop_Sequence__10610,0.004898696
Enc_Transit_Date__6/8/2020,0.002686959,,Enc_Day_of_Week__4910,0.004897132
Enc_Transit_Date__6/9/2020,0.001107761,,Enc_Day_of_Week__4478,0.004853211
Enc_Transit_Date__7/1/2020,-0.0025532,,Enc_Stop_Sequence__10635,0.004844363
Enc_Transit_Date__7/10/2020,-0.002090448,,Enc_Actual_Hour_Depart__2,0.004799394
Enc_Transit_Date__7/11/2020,0.002229536,,Enc_Day_of_Week__5089,0.004766655
Enc_Transit_Date__7/12/2020,-0.000234025,,Enc_Transit_Date__2/23/2020,0.004716147
